rank,gtype,run_time_ms,peak_mem_bytes,active_mem_bytes,to_offload,to_delete,to_prefetch,to_recompute,memory_size_bytes,recompute_ratio
0,forward,98.262,303526400,303526400,,,,,0,0.0
1,forward,21.929,355956224,355956224,,,,,52429824,2390889.871859182
2,forward,7.702,355956224,355956224,,,,,0,0.0
3,forward,2.506,394491392,394491392,,,,yes,38535168,15377162.011173185
4,forward,18.206,407336448,407336448,,,,,12845056,705539.7121827969
5,forward,1.279,420182528,420182528,,,,,12846080,10043846.755277561
6,forward,0.152,420182528,420182528,,,,,0,0.0
7,forward,8.438,433027584,433027584,,,,,12845056,1522286.7978193883
8,forward,1.031,445873664,445873664,,,,,12846080,12459825.412221145
9,forward,0.152,445873664,445873664,,,,,0,0.0
10,forward,3.445,498302464,498302464,,,,yes,52428800,15218809.869375909
11,forward,3.229,550733312,550733312,,,,yes,52430848,16237487.76711056
12,forward,2.803,603162112,603162112,,,,yes,52428800,18704530.85979308
13,forward,3.102,655592960,655592960,,,,yes,52430848,16902272.082527403
14,forward,3.162,708021760,708021760,,,,yes,52428800,16580898.1657179
15,forward,0.402,603164160,603164160,,,,,0,0.0
16,forward,2.939,616009216,616009216,,,,,12845056,4370553.249404559
17,forward,0.307,628855296,628855296,,,,yes,12846080,41843908.79478827
18,forward,0.136,628855296,628855296,,,,,0,0.0
19,forward,0.586,641700352,641700352,,,,yes,12845056,21919890.784982935
20,forward,0.285,655595008,655595008,,,,yes,13894656,48753178.94736843
21,forward,0.129,655595008,655595008,,,,,0,0.0
22,forward,0.375,708023808,708023808,,,,yes,52428800,139810133.33333334
23,forward,3.15,760454656,760454656,,,,yes,52430848,16644713.650793651
24,forward,3.125,812883456,812883456,,,,yes,52428800,16777216.0
25,forward,0.378,760454656,760454656,,,,,0,0.0
26,forward,0.366,773299712,773299712,,,,yes,12845056,35095781.42076503
27,forward,0.276,786145792,786145792,,,,yes,12846080,46543768.11594202
28,forward,0.13,786145792,786145792,,,,,0,0.0
29,forward,0.581,798990848,798990848,,,,yes,12845056,22108530.12048193
30,forward,0.254,812885504,812885504,,,,yes,13894656,54703370.07874016
31,forward,0.131,812885504,812885504,,,,,0,0.0
32,forward,4.44,865314304,865314304,,,,,52428800,11808288.288288288
33,forward,3.127,917745152,917745152,,,,yes,52430848,16767140.390150305
34,forward,3.104,970173952,970173952,,,,yes,52428800,16890721.649484534
35,forward,0.396,917745152,917745152,,,,,0,0.0
36,forward,1.88,943435264,943435264,,,,yes,25690112,13664953.191489363
37,forward,0.433,970174976,970174976,,,,yes,26739712,61754531.1778291
38,forward,0.218,970174976,970174976,,,,,0,0.0
39,forward,3.475,976597504,976597504,,,,,6422528,1848209.4964028776
40,forward,0.273,983021056,983021056,,,,yes,6423552,23529494.505494505
41,forward,0.099,983021056,983021056,,,,,0,0.0
42,forward,1.792,1008711168,1008711168,,,,yes,25690112,14336000.0
43,forward,1.751,1034405376,1034405376,,,,yes,25694208,14674019.417475728
44,forward,2.311,1060095488,1060095488,,,,,25690112,11116448.290783212
45,forward,1.788,1085789696,1085789696,,,,yes,25694208,14370362.416107383
46,forward,1.748,1111479808,1111479808,,,,yes,25690112,14696860.411899313
47,forward,0.271,1060099584,1060099584,,,,,0,0.0
48,forward,1.678,1066522112,1066522112,,,,,6422528,3827489.8688915377
49,forward,0.294,1072945664,1072945664,,,,yes,6423552,21848816.326530613
50,forward,0.137,1072945664,1072945664,,,,,0,0.0
51,forward,2.903,1079368192,1079368192,,,,,6422528,2212376.1625904236
52,forward,0.346,1085791744,1085791744,,,,yes,6423552,18565179.19075145
53,forward,0.131,1085791744,1085791744,,,,,0,0.0
54,forward,0.407,1111481856,1111481856,,,,yes,25690112,63120668.30466831
55,forward,2.203,1137176064,1137176064,,,,,25694208,11663280.980481163
56,forward,1.683,1162866176,1162866176,,,,yes,25690112,15264475.341651812
57,forward,0.254,1137176064,1137176064,,,,,0,0.0
58,forward,0.421,1143598592,1143598592,,,,yes,6422528,15255410.926365796
59,forward,0.255,1150022144,1150022144,,,,yes,6423552,25190400.0
60,forward,0.128,1150022144,1150022144,,,,,0,0.0
61,forward,0.588,1156444672,1156444672,,,,,6422528,10922666.666666668
62,forward,0.343,1162868224,1162868224,,,,yes,6423552,18727556.851311952
63,forward,0.111,1162868224,1162868224,,,,,0,0.0
64,forward,1.956,1188558336,1188558336,,,,,25690112,13134004.08997955
65,forward,1.873,1214252544,1214252544,,,,yes,25694208,13718210.357714895
66,forward,1.846,1239942656,1239942656,,,,yes,25690112,13916637.053087756
67,forward,0.266,1214252544,1214252544,,,,,0,0.0
68,forward,0.431,1220675072,1220675072,,,,yes,6422528,14901457.076566126
69,forward,0.242,1227098624,1227098624,,,,yes,6423552,26543603.305785123
70,forward,0.1,1227098624,1227098624,,,,,0,0.0
71,forward,0.551,1233521152,1233521152,,,,,6422528,11656130.67150635
72,forward,0.268,1239944704,1239944704,,,,yes,6423552,23968477.6119403
73,forward,0.091,1239944704,1239944704,,,,,0,0.0
74,forward,1.913,1265634816,1265634816,,,,,25690112,13429227.391531626
75,forward,1.81,1291329024,1291329024,,,,yes,25694208,14195695.027624309
76,forward,1.751,1317019136,1317019136,,,,yes,25690112,14671680.182752714
77,forward,0.233,1291329024,1291329024,,,,,0,0.0
78,forward,0.377,1297751552,1297751552,,,,yes,6422528,17035883.289124668
79,forward,0.206,1304175104,1304175104,,,,yes,6423552,31182291.262135923
