rank,gtype,run_time_ms,peak_mem_bytes,active_mem_bytes,to_offload,to_delete,to_prefetch,to_recompute
0,forward,7.495,128974848,128974848,True,,,
1,forward,0.257,146800640,146800640,True,,,
2,forward,6.206,162529280,162529280,,,,True
3,forward,0.364,153092096,153092096,,True,,True
4,forward,6.399,174063616,174063616,True,,,
5,forward,0.288,184549376,184549376,True,,,
6,forward,5.305,203423744,203423744,,,,True
7,forward,0.696,193986560,193986560,,True,,True
8,forward,5.796,212860928,212860928,True,,,
9,forward,0.244,233832448,233832448,True,,,
10,forward,6.092,257949696,257949696,,,,True
11,forward,0.532,243269632,243269632,,True,,True
12,forward,3.047,256901120,256901120,True,,,
13,forward,0.371,273678336,273678336,True,,,
14,forward,4.136,291504128,291504128,,,,True
15,forward,0.447,283115520,283115520,,True,,True
16,forward,4.007,297795584,297795584,True,,,
17,forward,0.201,309329920,309329920,True,,,
18,forward,3.106,331350016,331350016,,,,True
19,forward,0.617,326107136,326107136,,True,,True
20,forward,6.912,336592896,336592896,True,,,
21,forward,0.502,357564416,357564416,True,,,
22,forward,6.106,381681664,381681664,,,,True
23,forward,0.587,374341632,374341632,,True,,True
24,forward,5.040,395313152,395313152,True,,,
25,forward,0.241,414187520,414187520,True,,,
26,forward,3.863,435159040,435159040,,,,True
27,forward,0.610,429916160,429916160,,True,,True
28,forward,4.531,454033408,454033408,True,,,
29,forward,0.425,466616320,466616320,True,,,
30,forward,2.953,491782144,491782144,,,,True
31,forward,0.455,483393536,483393536,,True,,True
32,forward,3.683,506462208,506462208,True,,,
33,forward,0.660,536870912,536870912,True,,,
34,forward,5.908,564133888,564133888,,,,True
35,forward,0.551,554696704,554696704,,True,,True
36,forward,6.569,568328192,568328192,True,,,
37,forward,0.349,591396864,591396864,True,,,
38,forward,5.004,607125504,607125504,,,,True
39,forward,0.637,596639744,596639744,,True,,True
40,forward,7.490,618659840,618659840,True,,,
41,forward,0.650,643825664,643825664,True,,,
42,forward,6.245,657457152,657457152,,,,True
43,forward,0.517,651165696,651165696,,True,,True
44,forward,3.706,668991488,668991488,True,,,
45,forward,0.662,681574400,681574400,True,,,
46,forward,3.165,704643072,704643072,,,,True
47,forward,0.263,699400192,699400192,,True,,True
48,forward,0.262,713031680,713031680,,,,
