rank,gtype,run_time_ms,peak_mem_bytes,active_mem_bytes,to_offload,to_delete,to_prefetch,to_recompute
0,forward,7.914,125829120,125829120,True,,,
1,forward,0.512,152043520,152043520,True,,,
2,forward,6.307,162529280,162529280,,,,True
3,forward,0.547,174063616,174063616,,,,True
4,forward,6.231,200278016,200278016,True,,,
5,forward,0.302,224395264,224395264,True,,,
6,forward,3.797,249561088,249561088,,,,True
7,forward,0.665,265289728,265289728,,,,True
8,forward,7.653,286261248,286261248,True,,,
9,forward,0.419,303038464,303038464,True,,,
10,forward,3.001,327155712,327155712,,,,True
11,forward,0.438,342884352,342884352,,,,True
12,forward,6.575,372244480,372244480,True,,,
13,forward,0.391,400556032,400556032,True,,,
14,forward,5.087,421527552,421527552,,,,True
15,forward,0.512,441450496,441450496,,,,True
16,forward,4.176,464519168,464519168,True,,,
17,forward,0.313,494927872,494927872,True,,,
18,forward,5.367,508559360,508559360,,,,True
19,forward,0.381,525336576,525336576,,,,True
20,forward,5.789,545259520,545259520,True,,,
21,forward,0.579,569376768,569376768,True,,,
22,forward,5.692,589299712,589299712,,,,True
23,forward,0.568,619708416,619708416,,,,True
24,forward,5.396,644874240,644874240,True,,,
25,forward,0.680,675282944,675282944,True,,,
26,forward,3.185,694157312,694157312,,,,True
27,forward,0.690,713031680,713031680,,,,True
28,forward,3.506,728760320,728760320,True,,,
29,forward,0.581,747634688,747634688,True,,,
30,forward,5.461,758120448,758120448,,,,True
31,forward,0.399,781189120,781189120,,,,True
32,forward,7.814,806354944,806354944,True,,,
33,forward,0.672,824180736,824180736,True,,,
34,forward,4.330,852492288,852492288,,,,True
35,forward,0.604,874512384,874512384,,,,True
36,forward,4.231,891289600,891289600,True,,,
37,forward,0.279,917504000,917504000,True,,,
38,forward,5.535,927989760,927989760,,,,True
39,forward,0.619,956301312,956301312,,,,True
40,forward,5.629,984612864,984612864,True,,,
41,forward,0.294,1011875840,1011875840,True,,,
42,forward,5.260,1031798784,1031798784,,,,True
43,forward,0.469,1049624576,1049624576,,,,True
44,forward,3.403,1073741824,1073741824,True,,,
45,forward,0.568,1096810496,1096810496,True,,,
46,forward,2.688,1124073472,1124073472,,,,True
47,forward,0.697,1152385024,1152385024,,,,True
48,forward,0.558,1173356544,1173356544,,,,
